station_observations
RELATIVE_HUMIDITY1, STANDARD_SNOW, MINIMUM_AIR_TEMPERATURE, max_wnd_spd_10m_pst1hr, MEASURED_WIND_SPEED1, MEASURED_WIND_DIRECTION1, dwpt_temp, min_air_temp_snc_last_reset, DEW_POINT, ATMOSPHERIC_PRESSURE, avg_wnd_dir_10m_pst10mts, ACTUAL_WIND_DIRECTION, MAXIMUM_AIR_TEMPERATURE, snw_dpth, MAXIMUM_MEASURED_WIND_SPEED1, HEIGHT_OF_SNOW, pcpn_amt_pst24hrs, CURRENT_AIR_TEMPERATURE2, CURRENT_AIR_TEMPERATURE1, PRECIPITATION_NEW, max_air_temp_snc_last_reset, rel_hum, ACTUAL_WIND_SPEED, WIND_DIRECTION_STD_DEVIATION1, avg_wnd_spd_10m_pst10mts, air_temp, mslp, pcpn_amt_pst1hr, snwfl_amt_pst1hr, time, stn_pres
None, None, None, None, 0.455, 154.0, None, None, None, 1016.0, None, None, None, None, None, 66.49, None, None, -8.61, None, None, None, None, 72.3, None, None, None, None, None, 2017-01-10 23:00:00, None
None, None, None, None, 0.929, 11.86, None, None, None, 1016.0, None, None, None, None, None, 66.51, None, None, -9.1, None, None, None, None, 56.55, None, None, None, None, None, 2017-01-11 00:00:00, None
None, None, None, None, 0.98, 132.5, None, None, None, 1016.0, None, None, None, None, None, 66.48, None, None, -9.39, None, None, None, None, 65.06, None, None, None, None, None, 2017-01-11 01:00:00, None
None, None, None, None, 0.325, 344.8, None, None, None, 1016.0, None, None, None, None, None, 66.51, None, None, -9.82, None, None, None, None, 75.5, None, None, None, None, None, 2017-01-11 02:00:00, None
None, None, None, None, 0.557, 295.1, None, None, None, 1015.0, None, None, None, None, None, 66.44, None, None, -9.78, None, None, None, None, 70.3, None, None, None, None, None, 2017-01-11 03:00:00, None
None, None, None, None, 0.301, 59.61, None, None, None, 1016.0, None, None, None, None, None, 65.72, None, None, -10.54, None, None, None, None, 75.1, None, None, None, None, None, 2017-01-11 04:00:00, None
None, None, None, None, 0.348, 298.7, None, None, None, 1015.0, None, None, None, None, None, 66.23, None, None, -10.93, None, None, None, None, 73.9, None, None, None, None, None, 2017-01-11 05:00:00, None
None, None, None, None, 1.053, 340.8, None, None, None, 1015.0, None, None, None, None, None, 66.06, None, None, -10.57, None, None, None, None, 55.5, None, None, None, None, None, 2017-01-11 06:00:00, None
None, None, None, None, 1.384, 3.848, None, None, None, 1013.0, None, None, None, None, None, 66.35, None, None, -10.85, None, None, None, None, 43.76, None, None, None, None, None, 2017-01-11 07:00:00, None
None, None, None, None, 0.459, 90.2, None, None, None, 1013.0, None, None, None, None, None, 66.07, None, None, -11.36, None, None, None, None, 73.7, None, None, None, None, None, 2017-01-11 08:00:00, None
None, None, None, None, 1.017, 322.9, None, None, None, 1015.0, None, None, None, None, None, 66.55, None, None, -10.96, None, None, None, None, 56.51, None, None, None, None, None, 2017-01-11 09:00:00, None
None, None, None, None, 1.192, 355.4, None, None, None, 1015.0, None, None, None, None, None, 66.55, None, None, -9.71, None, None, None, None, 60.09, None, None, None, None, None, 2017-01-11 10:00:00, None
None, None, None, None, 0.814, 33.49, None, None, None, 1015.0, None, None, None, None, None, 66.65, None, None, -8.8, None, None, None, None, 69.47, None, None, None, None, None, 2017-01-11 11:00:00, None
None, None, None, None, 0.927, 113.5, None, None, None, 1013.0, None, None, None, None, None, 66.71, None, None, -7.99, None, None, None, None, 65.14, None, None, None, None, None, 2017-01-11 12:00:00, None
None, None, None, None, 1.764, 136.0, None, None, None, 1013.0, None, None, None, None, None, 66.74, None, None, -7.41, None, None, None, None, 53.23, None, None, None, None, None, 2017-01-11 13:00:00, None
None, None, None, None, 2.891, 135.5, None, None, None, 1013.0, None, None, None, None, None, 66.71, None, None, -7.02, None, None, None, None, 46.29, None, None, None, None, None, 2017-01-11 14:00:00, None
None, None, None, None, 2.085, 137.0, None, None, None, 1013.0, None, None, None, None, None, 66.78, None, None, -7.43, None, None, None, None, 55.92, None, None, None, None, None, 2017-01-11 15:00:00, None
