station_observations
pcpn_amt_pst24hrs, SWE, cum_pcpn_amt, ONE_DAY_SNOW, air_temp_2, air_temp_1, snw_dpth, MAX_TEMP, ONE_DAY_PRECIPITATION, pcpn_amt_pst1hr, snw_dpth_wtr_equiv, time, MIN_TEMP
None, 0.0, None, None, None, None, None, None, None, None, None, 2012-08-24 16:00:00, None
None, 0.0, None, None, None, None, None, None, None, None, None, 2012-08-25 16:00:00, None
None, 0.0, None, None, None, None, None, None, None, None, None, 2012-08-26 16:00:00, None
None, 0.0, None, None, None, None, None, None, None, None, None, 2012-08-27 16:00:00, None
None, 0.0, None, None, None, None, None, None, None, None, None, 2012-09-14 16:00:00, None
None, 0.0, None, None, None, None, None, None, None, None, None, 2012-09-15 16:00:00, None
None, 0.0, None, None, None, None, None, None, None, None, None, 2012-09-16 16:00:00, None
None, 0.0, None, None, None, None, None, None, None, None, None, 2012-09-17 16:00:00, None
None, 0.0, None, None, None, None, None, None, None, None, None, 2012-09-18 16:00:00, None
None, 0.0, None, None, None, None, None, None, None, None, None, 2012-09-19 16:00:00, None
None, 0.0, None, None, None, None, None, None, None, None, None, 2012-09-20 16:00:00, None
None, 0.0, None, None, None, None, None, None, None, None, None, 2012-09-21 16:00:00, None
None, 0.0, None, None, None, None, None, None, None, None, None, 2012-09-22 16:00:00, None
None, 0.0, None, None, None, None, None, None, None, None, None, 2012-09-23 16:00:00, None
None, 0.0, None, None, None, None, None, None, None, None, None, 2012-09-24 16:00:00, None
None, 0.0, None, None, None, None, None, None, None, None, None, 2012-09-25 16:00:00, None
None, 0.0, None, None, None, None, None, None, None, None, None, 2012-09-26 16:00:00, None
None, 0.0, None, None, None, None, None, None, None, None, None, 2012-09-27 16:00:00, None
None, 0.0, None, None, None, None, None, None, None, None, None, 2012-09-28 16:00:00, None
None, 0.0, None, None, None, None, None, None, None, None, None, 2012-09-29 16:00:00, None
None, 0.0, None, None, None, None, None, None, None, None, None, 2012-09-30 16:00:00, None
None, 0.0, None, None, None, None, None, None, None, None, None, 2012-10-01 16:00:00, None
None, 0.0, None, None, None, None, None, None, None, None, None, 2012-10-02 16:00:00, None
None, 0.0, None, None, None, None, None, None, None, None, None, 2012-10-03 16:00:00, None
None, 0.0, None, None, None, None, None, None, None, None, None, 2012-10-04 16:00:00, None
None, 6.0, None, None, None, None, None, None, None, None, None, 2012-10-05 16:00:00, None
None, 6.0, None, None, None, None, None, None, None, None, None, 2012-10-06 16:00:00, None
None, 9.0, None, None, None, None, None, None, None, None, None, 2012-10-07 16:00:00, None
None, 9.0, None, None, None, None, None, None, None, None, None, 2012-10-08 16:00:00, None
None, 9.0, None, None, None, None, None, None, None, None, None, 2012-10-09 16:00:00, None
None, 12.0, None, None, None, None, None, None, None, None, None, 2012-10-10 16:00:00, None
None, 9.0, None, None, None, None, None, None, None, None, None, 2012-10-11 16:00:00, None
None, 3.0, None, None, None, None, None, None, None, None, None, 2012-10-12 16:00:00, None
None, 0.0, None, None, None, None, None, None, None, None, None, 2012-10-13 16:00:00, None
None, 0.0, None, None, None, None, None, None, None, None, None, 2012-10-14 16:00:00, None
None, 3.0, None, None, None, None, None, None, None, None, None, 2012-10-15 16:00:00, None
None, 9.0, None, None, None, None, None, None, None, None, None, 2012-10-16 16:00:00, None
None, 21.0, None, None, None, None, None, None, None, None, None, 2012-10-17 16:00:00, None
None, 24.0, None, None, None, None, None, None, None, None, None, 2012-10-18 16:00:00, None
None, 24.0, None, None, None, None, None, None, None, None, None, 2012-10-19 16:00:00, None
None, 24.0, None, None, None, None, None, None, None, None, None, 2012-10-20 16:00:00, None
None, 24.0, None, None, None, None, None, None, None, None, None, 2012-10-21 16:00:00, None
None, 21.0, None, None, None, None, None, None, None, None, None, 2012-10-22 16:00:00, None
None, 21.0, None, None, None, None, None, None, None, None, None, 2012-10-23 16:00:00, None
None, 34.0, None, None, None, None, None, None, None, None, None, 2012-10-24 16:00:00, None
None, 34.0, None, None, None, None, None, None, None, None, None, 2012-10-25 16:00:00, None
None, 46.0, None, None, None, None, None, None, None, None, None, 2012-10-26 16:00:00, None
None, 46.0, None, None, None, None, None, None, None, None, None, 2012-10-27 16:00:00, None
None, 52.0, None, None, None, None, None, None, None, None, None, 2012-10-28 16:00:00, None
None, 61.0, None, None, None, None, None, None, None, None, None, 2012-10-29 16:00:00, None
None, 70.0, None, None, None, None, None, None, None, None, None, 2012-10-30 16:00:00, None
None, 73.0, None, None, None, None, None, None, None, None, None, 2012-10-31 16:00:00, None
None, 70.0, None, None, None, None, None, None, None, None, None, 2012-11-01 16:00:00, None
None, 76.0, None, None, None, None, None, None, None, None, None, 2012-11-02 16:00:00, None
None, 76.0, None, None, None, None, None, None, None, None, None, 2012-11-03 16:00:00, None
